text,rating,category
"My husband & I have 2 teenagers. So between the 4 of us, we have 4 Android phones, 4 tablets, & 4 laptops. We go through a lot of micro USB cables. Over the years, I have learned that not all USB cables are created equally! First of all, the plastic the covers the ends of the cables is a solid material. We have had several cables that with use, bend or break in the place where the actual cable meets. Since this is all one piece on the ends, that's not going to happen. The cable is a good length. It's long enough that if it's plugged in a lower outlet, it can still reach the end table, but it's not too long that you have a lot of excess cable getting in the way. I love that it's available in a few different colors. I selected the lime green one so it's very easy to see which cable is mine! And if anyone walks away with it, I know which child has it! At first I had this in my car with a car charger. But over the last week, I never was in my car for more than 10 minutes at a time, so I couldn't get an accurate feel for whether or not it was a fast syncing cable. This morning I brought it inside and plugged into one of our charging stations. My phone was at 50% so I was curious to learn how quickly it would charge using this cable. Within 10 minutes my phone had charged  an additional 10%. When I checked thirty minutes later, it was fully charged. I was quite pleased with that. I have a Nexus 5 phone and depending on where I am charging it, it often takes longer than that.<br /><br />*I received the Haweel Micro USB cable for the purpose of trying it out & reviewing it. My thoughts & opinions are my own.",5.0,Cell_Phones
"I decided to try Lemon Verbera, and I'm sorry I did.  Hoped for a lovely 🍋 lemon scent and got the exact opposite; no scent of lemon anywhere.",2.0,Health_Household
"I use this to stop pain. In fact, I use it mostly to stop shin and knee pain. The adjustable strap allows me to place the brace where I need it (below the painful area), the pad is comfortable, and the whole brace is lightweight, not bulky.",5.0,Health_Household
Cancelled my cable and using only my firestick!,5.0,Electronics
"Beautiful design, work wonderful, my son loves it",5.0,Electronics
Its okay. BUT it is NOT white by far. Its more like light gray to black!! Im kind of mad because I wanted the changing color to be white to black and that clearly isnt what it is as the description says!!!,2.0,Beauty_Personal_Care
"My son: ""Mommy, I wish I could have a pillow in the bath tub.  Wouldn't it be funny if they had pillows for the bath.""<br />Me: ""Actually, they do make pillows for the bathtub.""<br />My son: Mind. Blown.<br /><br />So, needless to say, he wanted one on his birthday list.  I happily obliged and ordered this Luxury Non-Slip Spa Bath Pillow For Tub with 5D Air Mesh Technology for his birthday.  Wrapped it up and he was excited to take a bath upon opening his gifts.  The box is nicely presented.  It comes with a plastic loofah and mesh bag.  The pillow is vacuum sealed.  Upon opening it up, I saw that the three of the five suction cups were bent, but I thought it's plastic, they'll stick.  Nope.  The suction cups are so distorted that they don't stick.  Only two of the three cups stick, so the pillow slides down and doesn't stay put.  This left my son extremely disappointed.  I did everything I could to try to manipulate the cups , but nothing.  The most I can get to stick is the top cup and the two bottom ones and the pillow still slips down.  My son still uses it by positioning it behind his back, but honestly I could just a towel and do that.  The point was to put this on tub he doesn't have to do that.  The pillow does feel soft and it drains and dries pretty quickly, so I'll give it that, but I'd find a different pillow.",1.0,Beauty_Personal_Care
The product is not even liquid resistant. At all. Very disappointed,5.0,Home_Kitchen
Took some serious head shaking and still didn't fall out!,5.0,Electronics
Just the right shade to replace my color that is no longer made,5.0,Beauty_Personal_Care
"So I thought I already posted this.<br />But I didn’t..<br />so read this for my details..<br />So this is the one that I did B4<br />But go to the BOTTOM for the fully updated review…<br /><br />But if I knew that this was made in China. I would have avoided buying this. So I will give it an A for the time it takes to charge. It’s not light. But it totally makes sense. Because of its power. But when I tried to contact this company. 0% luck. But because Amazon is an amazing company. They told me no worries. So let me tell what had happened. At first I thought it was my cord? But then it was loud and clear to me on this. So on the left side it would show it’s red. Or green. Basically that means that is giving power. And then, it would go out. Then I would change to the other side. The same thing happened. And I was going to give you an example of what I had experienced. When I tried to contact them. It says 8 to 4. But this is when it gets strange. Imagine seeing a number like this.. 23k 467 45678 as12. And I was like that cannot be America or even Europe. But just now when I tried to give you the message. Now when I use this name. It comes up. Exist.. no Lols!<br /><br />The only thing I will say positive. That I didn’t mind how much time it took to charge. But so at first I thought it was my BRAND NEW IPHONE 12. I called Apple. They correctly told me to contact that CHINESE company. So what I was doing first. I would switch it from 1 side to the other. Then it would light up. Then when I got home the battery was drained. I actually thought B4 that’s was my improper cord? No. I actually had to return them too. But YOU SHOULD ALL KNOW THAT I BOUGHT 4 OF THESE DREADFUL CHARGERS!<br />But I’m puzzled how almost 18,000 @ 4.5* and how this company has all the Awesome buzz words. But I was really impressed about its credentials. But now I have found another brand. That has even more power. And I believe I will get this in the beginning of SEPTEMBER!",1.0,Cell_Phones
"All I can say is ... ***WOW!***<br />This mask is amazing.  Makes my skin look amazing!<br />Geesh!  Honestly, never in my life, have I ever seen a mask do what this mask does. We're talking clean pores and clear skin in a MAJOR way.  After using this for almost a month, I'm about ready to trash some of my other masks.  (Yes, I would dump my expensive Borghese Fango Mud (check the price) for Kerafole. That's how GOOD it is.<br />This stuff *IS* amazing!<br />Deserves TEN stars.  Worth every penny!",5.0,Beauty_Personal_Care
"Save your money, it doesn’t look like the picture at all. It is triangle shaped  and the teeth are way too close together. Just used it on a small party of my hair and it dried it out horribly. Trash. Why can’t it look like a real comb?",1.0,Beauty_Personal_Care
"Best price I could find, they work great, packaged well",5.0,Home_Kitchen
It's a good product that I like.,5.0,Cell_Phones
"At once a week, one or both of my feet will start hurting. So, I am going to be ready for the next pain that shows up whenever it wants and hits one or both feet.",4.0,Health_Household
Not the best protection but very attractive,5.0,Cell_Phones
Best shower scrubbers I've ever boughten,5.0,Beauty_Personal_Care
"Well it's always hit and miss with candles. Yankee candles are a big one. This one was not my usual Midsummer's candle but I took a shot with this scent. The holder it's in is beautiful, but that's all the positive I can say about it. You absolutely cannot smell this. I have a large living room with very high ceilings and no smell but I wanted to see if that was the problem. I put the candle in my very small office and closed the door and let it burn. Several hours later I opened the door to smelling nothing until I walked right up on top of it. It's very disappointing because if it had throw it's a wonderful scent. I guess I wasted my money. That's my two cents for this product so I advise to stick to the scents you know about that work.",1.0,Home_Kitchen
"This stuff works great! My dishes come out cleaner than ever before when I use this. Its so simple to just add to the Pre-rinse compartment. My double insulated cups would always have a film on them with a regular wash, after using this... they look brand new. I love that I can know with SG it is the best clean product possible. I would highly recommend.",5.0,Health_Household
"Exactly what I ordered , perfect fit",5.0,Electronics
"This hits the mark when it comes to potency, with each capsule providing 50 billion CFUs. However, there's conflicting information with regard to the strains represented. On the bottle four ""proprietary"" strain groupings are listed; in the product listing it states there are 9 different strains consisting of Lactobacilli and Bifidobacteria varieties. I don't know which is correct, and I don't care for product bottle information to be vague about what's in the capsule.<br /><br />The other issue that is uncertain is whether this contains a prebiotic. In the product listing it states it includes FOS (a common prebiotic) but does not list the amount. On the bottle there's no mention at all of any prebiotic.<br /><br />Given the wide variety of probiotics on the market where the manufacturer is far more transparent as to what specifically is in the formulation, I don't consider this brand to be a good option. Since the potency level is very good, and it is a US-made product, I'll give it 2 stars, but limited and/or contradictory information in a health care product is not the hallmark of a good brand.",2.0,Health_Household
Perfect. Exactly what I needed.,5.0,Home_Kitchen
"Works as expected, no BS, hook it up and it just works.",5.0,Electronics
"I purchased this lamp from Electrified.com in July of this year.  Yes, the bulb seemed to shine a bit brighter at first (much to my delight).  But after two months the bulb started cutting off causing the tv to ""reset"".  I contacted Electrified.com and was told to send the lamp back (at my expense of course) and they would send me another lamp.  This they did but after two more months...the 2nd lamp went out also!  So, I contacted Electrified.com again telling them that the replacement lamp had also burned out...I was told that the 90 day warranty was on the original defective lamp and even though after two months it burned out the original warranty continued on the replacement lamp.<br /><br />Needless to say I am highly aggravated at Electrified for not standing behind their products!! If you need a lamp buy it from someone else that is willing to stand behind their products.  I will NEVER do business with Electrified.com again...and I will let anyone who will listen to know the reasons why I feel that way!!",1.0,Electronics
"Native Union is a phenomenal product. I wasted money by buying substandard cables on sale at big box department stores (Target, et al). This cable takes a beating and never lets me down. And it happens to match my bed linens 😁",5.0,Electronics
The graphics on the case are not legible. Very disappointed.,1.0,Cell_Phones
Case was really nice but screen protector was damaged,4.0,Cell_Phones
would purchase again. no negatives so far,5.0,Electronics
This was one of the best purchases I have made in buying speakers! I love these!  The sound is great . They were very simple to hook up . So glad I bought them!!,5.0,Electronics
"Good brand of tea, and I have used there other teas and like them.<br /><br />This is called a Respiratory tea.<br />I had Pneumonia 4 yrs ago and was in the hospital for 4 days, I have lost some<br />Energy since then. And have a cough!  Drs cannot figured out why!<br />For me this tea I can taste the Cardamom which should be healthful but catches in the back of my throat and gives me a cough !!<br /><br />The taste is tasty, not strong.",4.0,Health_Household
I thought it was gonna be clear (see through) & it’s white,1.0,Cell_Phones
"Love that this product is unscented so NO dangerous chemicals added just to give it a smell/fragrance!!  This is so refreshing in this day &  and age where almost everything has perfumes added, most of which are comprised of hundreds of dangerous chemical, many of which are know cancer causing!  Can't  we do with out all these chemicals?  Start checking labels people and educate yourself.",5.0,Health_Household
"The Roku was easy to set up and works flawlessly so far. The updates were quick and I had no issues connecting to my network. I was agonizing between the Fire Stick and Roku. Ultimately I chose the Roku because I have read it has more entertainment options and a better interface. IDK. I will probably get a Fire Stick down the line to test it. I downloaded the Quick Remote app which is supposed to integrate with Alexa, so far I have not had any luck. Waiting on my Google Home assistant and if it works with that I'll just move my Echo dot into the second bedroom and use that instead.",5.0,Electronics
This has the best tools and it's very well made.,5.0,Beauty_Personal_Care
Nice product. Arrived in perfect shape. I recommend.,5.0,Health_Household
This is the best bathroom scale i have owned.,5.0,Health_Household
"these routers have bad wifi, and mine had a broken antenna, but as a cable modem they are perfect. knocking one star for the broken antenna...  I bought this to avoid pay monthly rental fee from Frontier for internet.",4.0,Electronics
Kickstand broke within a week of using,5.0,Cell_Phones
Perfect for my daughter...a perfect mom.,5.0,Cell_Phones
A classic! I always love giving this book.,5.0,Electronics
i have one for my samsung  bought one for my twin love it,5.0,Health_Household
Pricier in store. Glad I purchased online and the smell is amazing!,5.0,Health_Household
"Their newest edition is definitely a miss for me. It’s not soft enough for sensitive skin. And it most of all, after I use it for about three weeks, it started smells. I think it’s because it doesn’t get dry enough if I use it daily. So it’s pretty gross to use",1.0,Beauty_Personal_Care
"These are muted orange lights, and they are perfect on our front porch, for Halloween lighting. We didn't want anything too bright or showy, and these are exactly the glow we desired.",5.0,Home_Kitchen
Horrible scent and very strong. Will overpower any other fragrance you might wear. When will hair care companies get the message that some of us don't buy their products for the scent!,1.0,Beauty_Personal_Care
These Harlow & Grey Jardin rose gold foiled (cocktail) napkins are pretty and will complement my Manhattan Green & Rose Gold plates. I had to have them both! Perfect for a dinner party or entertaining. I’d recommend them.,5.0,Home_Kitchen
"I absolutely love this eyeliner!  It goes on so easy, and nice and smooth! I am going to ordering more colors!",5.0,Beauty_Personal_Care
"I've been eyeing up this product for a couple of months. Even though I read the negative reviews on Amazon, my desire to try this led me to purchase one at a drug store instead of a 2-pack on Amazon just to see if I liked it.<br /><br />Now that I tried this I can't wait to finish it.  This substance is a sticky concoction of Vaseline and pale pink color that feels like an ooey gooey greasy mess on my lips. Straight Vaseline feels much better. Even though this does the job, the substance feels like I applied glue to my lips that is partially sticky only. I'm going to use this to lighten some dark lipsticks I have which will reduce the stickiness. I definitely won't be purchasing this again.",1.0,Beauty_Personal_Care
"oh em gee!  i have been using my glass door wood burning stove for a couple of years so there was quite a build up.  the other reviews are correct. spray on, wipe off, clear as new. smells of ammonia. maybe diluted ammonia would also work.  this stuff rocks!  the smell wasn't too strong and i can see my fire again!",5.0,Health_Household
"These are extremely affordable brushes, you can buy this whole set for the price of one brush from Mac.  I think they are good for teenagers who are just getting into makeup or those allergic to animal hairs, I noticed that compared to my animal hair brushes they did not blend as well. There are also a lot of similar brushes for the face and it is missing a basic blending brush for the eyes.",4.0,Beauty_Personal_Care
I love the product. And the customer service is amazing!,5.0,Home_Kitchen
"I still had this one. Maybe I should give this away. Yes it’s slim. But why does it work kind of strange. I plug in 1 side . My phone says, hm.. ? I plug in the other side it says, okay! Then when I use this. My phone says, hmm. I 92%. But maybe I spelled the name incorrectly? And yes it’s more expensive. But it has more cords that you can plug in. This one. Has 1 only. But the other one tells you how much of your charger is left in %. I have never been down past 93%. And since I don’t speak in computer terms. I don’t know about power. This one says 10,000 and the other has 38,000. And when I tried to contact this seller. No, reply..<br />so if this free, I say buy it. If the other one is $15 or $30 buy it. And maybe you will find it kind of strange. That I bought this in the fall of 2021. Then I bought the other 2 months later.",2.0,Cell_Phones
Started smelling like burning wires at 3 weeks. Going back to store.,1.0,Home_Kitchen
Perfect in my Pelican flashlight. This thing is old.,5.0,Health_Household
Best curling iron I have ever owned!<br />Thank You!,5.0,Beauty_Personal_Care
Nice basic scrub brushes. Perfect for kitchen and bathrooms.,5.0,Health_Household
"It is fake leather....be careful. I was looking for something made of real leather...the product description was wrong...you had to read in the detailed description to realize it was faux leather...<br />It smells plastic..just the opposit of what I was looking for. I return it. And believe me the Thule from the apple store if the best. I ordered it, perfect!!!",2.0,Electronics
"I just dislike the tassel it makes the band look cheap ,",5.0,Cell_Phones
"I requested this before reading the discription. I am not a child and I don't have curly hair, I always wanted curly hair but all I have is just a weird wave.  Lately I have been trying new gadgets, and one had made my hair super frizzy.  I tried this and followed  the directions.  When I opened the jar, it smelled amazing, and I thought;I am in for a treat.  The applied this creamy gel to the ends of my hair that had frizzed out.  I mean my hair was never frizzy like this, but this product worked great.  It was lightweight for a nice natural look, and did not leave a residue...Love that!<br />I liked this product but I don't know how it would work on curly hair.",5.0,Beauty_Personal_Care
I simply adore this mask. It gives my wall a statement.  Fantastic deal.,5.0,Home_Kitchen
"Yay! A micro-USB cable! Now we can charge our Kindle again. I want to say all cables are alike... but I've had some cheap ones that last a month.<br />I can't say about this one yet, but our last one lasted a couple years (it died because my kid cut it). Hopefully this one lasts a while too.",5.0,Electronics
"I purchased the leaf so that I could watch local news without cable. Very easy to install and I receive many channels. Unfortunately, I couldn’t pick up every channel their website said I would.",4.0,Electronics
I had sinus issues all my life and my allergies are horrible. My doctor suggested I use a nasal flush daily to help. It has helped but I wanted something that would help with my sinuses even more and found this device. Using the Red Light Nasal Therapy Device has helped my sinuses open up a bit more and it never feels uncomfortable to use. I'm actually really surprised this device is that effective. It's easy to use and I will continue to use it regularly to improve my breathing.,5.0,Health_Household
"I was a Chef back in the day. I owned my own set of Henckel knives custom sharpened and the handles wrapped with wax and jute. Also, I owned my own set of pans, again custom wrapped in jute... I even owned my own grill spatulas sharpened on one edge and yes wrapped in jute and wax.  I know what tools it takes..as any pro would...to do a job. SHARP KNIVES are by far the No. 1 tool for the cook... whether they be a sous chef, a pantry chef or ""line"" cook. Most chefs have their knives PROFESSIONALLY SHARPENED!!! We may use a ""steel' to hone our knives during work but we depend on Pro Sharpening services to take care of my $1000.00 Henckels.<br /><br />I'm not a Chef anymore. But I still like to cook for friends and family and own some pretty nice, high quality cutlery. I have tried 3 different ""do-it-yourself"" knife sharpening tools that work on the ""just pull and draw on the v shaped slot and voila, your knife is sharpened.""<br /><br />They do not and will not EVER SHARPEN YOUR KNIVES!!!! After using this ""sharpener"" it basically turned my nice Cuisinart Chefs knife into a butter knife. I tried it out on several other Cuisinart knives and again pretty much turned all of them into butter knifes.<br /><br />I returned this and bought a good 1000/6000 grit whetstone and was able to ""recover"" my kitchen knives and as a bonus, able to sharpen by 440c pocket knives.<br /><br />Summary: these quick sharpen pull and draw knife sharpeners will not work! Either get your cutlery PROFESSIONALLY SHARPENED or get a good whetstone set and learn how to sharpen yourself.",1.0,Home_Kitchen
"It pushes their own pay content even if you do not have Amazon Prime. As in there is Prime stuff on the main screen even when you do not have Prime which is odd. It is geared toward Prime people.<br />I am probably going to return mine to the store. What I do like about it is It is fast (faster than my Roku 1 which has refused to update) and has an internet browser app called Silk which I only got when I did a system re-install. Which was odd.<br />There are banner ads for products right on the home screen like for cereal. And I do not eat cereal so that is also odd being I have been an Amazon customer over 10 plus years since and you would think they know this being they have tons of my info.<br />and they do not show you what are free shows. With the Smart Tv Amazon app and Roku Amazon Apps? They have a &#34;Prime&#34; labe banner across the shows which means it is a free show. But...they do not have this and I read this was done on purpose. So, it literally is like click-bait I believe to make you click-click-click on shows and if you like the show that is a pay one then they hope you will...pay!<br />It literally can take hours to find the free ones. This is shady and not user friendly.<br />It visually reminds me of the Amazon app. So, it is kinda like I bought the app which I already have for free on my Smart tv and my old Roku.<br /><br />And they will not and do not tell you the Alexa talking remote does NOT work with Netflix. I called the tech people and was told yes. true. it does not on &#34;3rd party apps&#34; which Netflix I guess is. Simple commands like trying to rewind or turn the volume up will not work with the talking Alexa remote watching a show on Netflix. But does apparently with Hulu?<br /><br />If you need Accessibility features? You need go elsewhere! They obviously did not test these features. Ask my cat...because they are the opposite of accessible! Ironic eh? I was literally almost crying trying out the zoom and talking stuff. The froze and the directions were so convoluted and ridiculous. LIke and entire long list of up down. hold this and hold that and pause plus play and. It was almost like a joke. but not!<br />See photo below of how the app has the &#34;prime&#34; banner label to show free shows but how Fire stick does not. shady. I told them too and they told me? Do factory reset. smh. Online told me in articles that they did this on purpose.",2.0,Electronics
I ordered 2 sets of these for my Nesco FD-1040 as they advertise will fit. However  I received 2 different sized sets....?  One fits my Nesco FD-1040 and the other is much smaller. I started my exchange the same day I received it but now the price has jumped $10!!! If you’re wanting screens for the Nesco FD-1040...keep looking.,1.0,Home_Kitchen
Didn’t fit Not Compatible as stated to my Sense Fitbit!!,1.0,Cell_Phones
"i ride my bike and work out with these wireless headphones. i sweat a lot. i tried my best to keep these clear of sweat and water, and i don't know if that was the cause of their demise, but it's the only thing i can think of. my first pair would still turn on, but would never pair with anything. my second pair just stopped turning on completely, even though it would charge.<br /><br />these things are cheap, and probably would be good for light use, like if you're just sitting around in bed or something. they're branded as ""sports earphones"" - but on my bike, the wind rips through these things and it's hard to hear. also, the connection was spotty even though my phone was in my pocket. at the gym, they were fine, although i didn't like the cable bouncing up and down - for the price i was ok with this.<br /><br />the sound quality is pretty good for what you pay for. probably the best thing about the headphones. while support is great and they sent me a replacement set, i think i'm done with these things. i need something more reliable and probably of higher build quality.<br /><br />i'm skeptical of these being ""sweatproof"" because the manual says quite a lot about keeping the device free of sweat and water. if they are - then why did they die after only a few months of use? whatever the reason, it's  probably not worth it if you're interested in wireless headphones for the gym.",2.0,Electronics
"My husband has an old injury to the tendon around the elbow that flares with pain now and then. It's not often and only with certain repetitive movement. I had him try this a couple of days ago and it seems to help a bit by adding some pressure to the specific sore area and providing a bit of support. Putting it on one handed is really difficult, it's a really a two person job to get it on tight enough and in the right position.",4.0,Health_Household
This was like trying to style your hair with lotion,1.0,Beauty_Personal_Care
This is a MUST for anyone suffering from joint pain. When this is taken internally recommendations...get the massage oil and apply to painful joints. This gave me relief within three days . This is a wonderful MUST HAVE to relieve joint pain.,5.0,Health_Household
"I like that it has pockets inside the case. I expected cheaper quality, but I think the quality is decent. I'm not sure how well it will protect my phone from a fall, but I imagine not so well since the part that holds the phone is really thin.",4.0,Cell_Phones
This moisturizing soap is perfect for dry skin.  I use it for my daily shower and leave my bath feeling refreshed and clean yet also soft and nourished.  It contains all natural ingredients and the scent is mild yet lingers on my body.  I urge you to try it!,5.0,Beauty_Personal_Care
"What a difference Fortify has made!  I am in my 60's and suffer from degenerative OA (my knees are mostly bone on bone).  I have been pretty much immobile for almost 10 years and was told that my only hope was bilateral knee replacment which, after much research, is not something that I intend to do.  Out of pure desperation I opted to invest in stem cell treatment which has made the pain 'manageable'.  I have about 50% less pain than before the treatment so I consider it well worth it.<br /><br />Over the years I have tried more joint supplements than I can count with very little success.  After reading the Fortify reviews I figured &#34;what the heck&#34; and gave it a try.  WOW!  I am now almost pain free (90% on a bad day!).  My first walk in 10 years was a little over half a mile - and I literally cried wth happiness.<br /><br />I know every body reacts differently to supplements.  I can only recommend keep looking until you find what works for you, but if you haven't tried Fortify you might want to give it a try!",5.0,Health_Household
This is one of my staple products!  Love it!,4.0,Beauty_Personal_Care
Too thick to spray !  More like the consistency of butter.  Can I add water to thin ?,1.0,Beauty_Personal_Care
Replacement for one left in rental car. Charges fast,5.0,Cell_Phones
"I have four of these now.  They work really well, and consistently.  As long as they are plugged into a power outlet, the clock continues to run, and the thing plugged into it goes on/off at the times you set.  When I'm away, I use them on my lights.  When I'm home, I use them on kitchen appliances to ensure that they are off during times I don't use them.  You can also just set them to 'on' when you're home, or store them for the next time you need them.<br /><br />It's a little counter-intuitive the first time you set it up, but, once you get the hang of it, it's very easy.<br /><br />Unlike digital timers, you don't have to worry about small power outages.  The only problem I can foresee is if there is a long outage, then the clock will be wrong and it will be going on/off at different times.  However, compared to not working at all at the slightest outage, I feel that this is a very minor drawback.",5.0,Electronics
"It is easy to set up. However, the WiFi keeps come on and off even after multiple reboots within three week of using it. When WiFi’s up, it has decent speed. Unfortunately the WiFi is like yo-yo!",2.0,Electronics
"It works, it really really works!!!<br /><br />I couldn’t decide at first and I chose wrong. The first one was terrible. This doesn’t just make my life easier; my back feels 100% better not looking down at a screen hours a week.",5.0,Electronics
Love my fire stick!  Lets me watch all my shows!!,5.0,Electronics
"It just straight up isn’t good lol it doesn’t stay in place, it’s always falling down,  it’s hard to maneuver.",2.0,Electronics
Excellent replacement for my dead power supply,5.0,Electronics
"Loved the look of this case so there are the stars, but sadly it arrived broken...the plastic is so cheap and flimsy its so no wonder a piece of it just snapped off in shipment.  I wanted it for its look which was amazing but its quality was awful, zero stars,....can some case company make cute cases that are also good quality...seems like you can only get either or.",2.0,Cell_Phones
"Has really nice scent to it, left my lips feeling soft.",5.0,Beauty_Personal_Care
I am constantly smashing my watch into things. I hit my watch so hard it broke this protector. It did its job since my watch would have been destroyed. After this gets beat up I simply put on a new one. It keeps my watch looking fresh and new.,5.0,Cell_Phones
"I know a lot of reviewers really liked the rose scent of this lotion, but it nearly ran me out of the room.  If I had purchased it I'd be returning it and getting my $38 back.  I usually like the scent of roses but this scent was way too strong for me.  I put some lotion on my hands and was typing reviews and could smell the scent and it began to give me a headache and i was starting to feel bad.  I had to go wash my hands to get the smell off of them before i barfed.",2.0,Beauty_Personal_Care
"If your wildest culinary dream has been to create a beautifully ecru-colored milk soup, then this machine is your baby! I've owned this blight on all things lactic since November---my 3 batches of yogurt (I LOVE yogurt and was excited in the belief that I could make my own blends at home and save some cash) have all ranked in the &#34;crash and burn&#34; category of cuisine. I followed the directions included with my machine to a &#34;T&#34;---I even carefully used my cheese thermometer (I make my own cheese as well) to gauge the recommeneded temperatures of the milk I was culturing in order not to &#34;overcook it.&#34; Every single time I made a batch of yogurt, the results have been as follows: A sea of pale viscous-y whey afloat on a bed of gritty, lumpy, watery &#34;yogurt.&#34; Every. Single. Time.  I checked troubleshooting websites and found that maybe I was leaving the cunning little glass jars in the machine too long and the whey was in serious separation-mode. I added the suggested milk powder. I eschewed using plain Greek yogurt as a &#34;starter&#34; for the commercially produced &#34;culture packets&#34; (sticker shock!) I used skim milk. 2%. Whole. Nothing changed. I  have begun entertaining the notion that I could achieve the same results by simply dumping some pan-warmed milk in a few canning jars, situating them in a shaft of sunlight, and revelling in some fairly decent yogurt experiences. And I would eliminate the &#34;middle man.&#34; I'm not sure what I'm doing wrong. I only know that this machine isn't advanced enough to correct my errors, or even to offer suggestions for ways I can improve my performance. The Euro Cuisine is stymied.",1.0,Home_Kitchen
This is perfect and exactly what I was looking for!,5.0,Cell_Phones
"I am a senior wonan who cares for my 90 year old mother, and was able to install 2 of these handles in her shower/bath in 5 minutes! They have incredible suction! My mom can now get into and out of the bathtub without my help! Best product ever!!",5.0,Health_Household
"got these for my husband, saw no difference.",2.0,Health_Household
"I have long hair, and I use this at the roots to give it a boost and some control. More specifically for when I want a cute pony tail or braid with some volume at the crown. There are times I just clip the front portion of my hair back and I want it to have a little volume, rather than be flat. I don't like to fuss, so using a quick powder rather than styling tools is more my speed.<br /><br /> Volumizing powder helps with this. I think it is because it adds texture and some tackiness. I find it works better on my hair when it is a bit dirty (or a lot dirty). It has something to cling to, and then I can run my hand up my hair and it stays in place, more or less. Kind of fun. Then I can clip it in place, and I didnt need to do anything time consuming. Throughout day I can just pinch my hair ""up"" and it reboosts itself. I can imagine  this would be good for men and women who have short hair-- can just run hand through hair and refluff it.<br /><br />White powder does not stand out on my dark hair. Disappears. Comes out a little at time from the shaker top. Seems to evenly disperse. I dont need much!! I can feel it in my hair, but not in a bad way.<br /><br />I like it, and I find that it is better than all others I have tried.  It happens to work well on MY hair, and how I use it, so your experience may vary.",5.0,Beauty_Personal_Care
"My hands are very dry.  I wanted a lotion where I sit in the evenings and knit.  The lotion itself was nice.  I little greasy at first but absorbs quickly and left my hands feeling nice.  But the scent was much too much for me.  I think I might be sensitive to strong smells and it really bothered.  So although it didn't work for me, it may be good for another person.",2.0,Beauty_Personal_Care
"Love this product, my hair has never been so healthy and smooth.",5.0,Beauty_Personal_Care
They smell good but disappointed they are in plastic bottles instead of glass.,4.0,Health_Household
This is a simple and unobtrusive throw that is soft and warm. The color is a muted teal and works with most decor. It does not take up a lot of space and can be tucked away in a corner if you don't like a lot of stuff on your furniture (my husband hates throw pillows and whatnot - especially whatnot).,4.0,Home_Kitchen
